"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2019,8199468,14469,8,2019,"I",,"Y","G","C","2019_08_OH0400100_NIBRS",60806026,0
2019,8207130,14469,9,2019,"I",,"Y","G","C","2019_09_OH0400100_NIBRS",62578326,0
2019,8214792,14469,10,2019,"I",,"Y","G","C","2019_10_OH0400100_NIBRS",64238863,0
2019,8222454,14469,11,2019,"I",,"Y","G","C","2019_11_OH0400100_NIBRS",71734891,0
2019,8230116,14469,12,2019,"I",,"Y","G","C","2019_12_OH0400100_NIBRS",71734903,0
2019,8146170,14907,1,2019,"I",,"Y","G","C","2019_01_OH0870200_NIBRS",37441477,0
2019,8153832,14907,2,2019,"I",,"Y","G","C","2019_02_OH0870200_NIBRS",48793440,0
2019,8161494,14907,3,2019,"I",,"Y","G","C","2019_03_OH0870200_NIBRS",48798334,0
2019,8169156,14907,4,2019,"I",,"Y","G","C","2019_04_OH0870200_NIBRS",64264524,0
2019,8176818,14907,5,2019,"I",,"Y","G","C","2019_05_OH0870200_NIBRS",64260519,0
2019,8184480,14907,6,2019,"I",,"Y","G","C","2019_06_OH0870200_NIBRS",70903499,0
2019,8192142,14907,7,2019,"I",,"Y","G","C","2019_07_OH0870200_NIBRS",64264534,0
2019,8199804,14907,8,2019,"I",,"Y","G","C","2019_08_OH0870200_NIBRS",64246111,0
2019,8207466,14907,9,2019,"I",,"Y","G","C","2019_09_OH0870200_NIBRS",64260538,0
2019,8215128,14907,10,2019,"I",,"Y","G","C","2019_10_OH0870200_NIBRS",70903487,0
2019,8222790,14907,11,2019,"I",,"Y","G","C","2019_11_OH0870200_NIBRS",64264543,0
2019,8230452,14907,12,2019,"I",,"Y","G","C","2019_12_OH0870200_NIBRS",64264544,0
2019,8149482,25363,1,2019,"U",,"Y","G","C","2019_01_OH0152000_NIBRS",,0
2019,8157144,25363,2,2019,"U",,"Y","G","C","2019_02_OH0152000_NIBRS",,0
2019,8164806,25363,3,2019,"U",,"Y","G","C","2019_03_OH0152000_NIBRS",,0
2019,8172468,25363,4,2019,"U",,"Y","G","C","2019_04_OH0152000_NIBRS",,0
2019,8180130,25363,5,2019,"U",,"Y","G","C","2019_05_OH0152000_NIBRS",,0
2019,8187792,25363,6,2019,"U",,"Y","G","C","2019_06_OH0152000_NIBRS",,0
2019,8195454,25363,7,2019,"U",,"Y","G","C","2019_07_OH0152000_NIBRS",,0
