"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2019,1,120426825,1,1,12814209
2019,2,120427082,6,1,12814212
2019,2,120427170,4.9,1,12814218
2019,4,120427170,5.5,1,12814217
2019,4,120430883,1,1,12809861
2019,4,120427359,,,12814220
2019,12,120427415,,,12814222
2019,8,120427449,3,1,12814226
2019,17,120427449,1,1,12814225
2019,12,120427795,8,1,12814232
2019,4,120427795,2,1,12814233
2019,12,120427820,1.75,1,12814235
2019,5,120427963,1,1,12814242
2019,1,120427964,1,1,12814243
2019,1,120428020,1,1,12814246
2019,5,120428156,1,1,12814252
2019,5,120428241,1,1,12814258
2019,1,120431294,0.5,1,12809879
2019,5,120428287,1,11,12814259
2019,5,120428298,1,1,12814260
2019,11,120428433,1,1,12814263
2019,4,120428433,1,1,12814264
2019,12,120428447,15.2,1,12814265
2019,5,120428659,1,1,12814279
2019,1,120431478,1,1,12814280
2019,5,120431478,1,1,12809890
2019,12,120396528,136.5,1,12808903
2019,4,120407109,1,9,12804806
2019,4,120407397,1,5,12804824
2019,16,120407488,,,12813046
2019,12,120407544,3,1,12804835
2019,4,120400650,0.999,1,12804852
2019,5,120397602,2.2,1,12809055
2019,1,120401615,0.97,1,12813316
2019,2,120409600,0.87,1,12809068
2019,5,120397787,,,12809084
2019,4,120409791,0.45,1,12805021
2019,12,120401809,2,1,12805027
2019,5,120397838,0.1,1,12809089
2019,4,120409905,0.39,1,12813369
2019,17,120409946,,,12813380
2019,5,120409977,66.6,1,12813384
2019,17,120409978,3.4,1,12805041
2019,1,120410004,0.1,1,12813390
2019,17,120410004,8.5,9,12813389
2019,17,120410006,4,9,12813391
2019,5,120401982,0.4,1,12813419
2019,5,120410156,0.2,1,12813420
2019,1,120410251,0.14,1,12813432
2019,5,120402066,2,1,12813433
2019,5,120402207,13.8,1,12805103
2019,2,120398309,0.9,1,12809180
2019,12,120398364,0.92,1,12809189
2019,9,120410718,10,9,12813547
2019,1,120398424,1,1,12809208
2019,8,120410745,15,9,12813554
2019,4,120398435,1,9,12813556
2019,1,120410827,0.64,1,12813572
2019,1,120410845,0.65,1,12813578
2019,4,120410920,16.7,1,12813589
2019,17,120411252,1,9,12813627
2019,5,120402542,1.5,1,12805154
2019,17,120411333,,,12813650
2019,16,120411370,1,1,12813658
2019,5,120411416,7,1,12813662
2019,1,120402643,1,1,12805164
2019,12,120402707,,,12805179
2019,17,120419758,19.19,1,12805443
2019,4,120419758,20.03,1,12805442
2019,12,125145081,1,3,14022489
2019,12,125154726,1,11,14027571
2019,5,125154725,14,1,14032486
2019,5,125154733,1,1,14032487
2019,5,125154777,3,1,14032494
2019,5,125154787,28,1,14032499
2019,5,125145468,16,1,14022581
2019,12,125155005,1,9,14032525
2019,8,125155052,20,9,14032530
2019,12,125155070,4.95,1,14022627
2019,12,125155094,26,1,14032536
2019,5,125155115,1.5,1,14032541
2019,12,125145821,0.61,1,14022643
2019,5,125145821,5,1,14022644
2019,16,125138954,0.13,1,14027723
2019,5,125138954,1,1,14027722
2019,12,125138954,0.28,1,14027721
2019,12,125138964,3.1,1,14027726
2019,5,125155175,1,3,14032548
2019,5,109687686,1,9,10226942
2019,17,109687702,8,1,10226945
2019,4,109690607,,,10221045
2019,1,109690629,11.1,1,10221050
2019,16,109690629,11.8,1,10226965
2019,16,109690629,13,9,10221051
2019,16,109690640,9,1,10221054
2019,5,109695165,1,9,10223311
2019,5,109690660,0.2,1,10221059
2019,5,109690661,4.8,1,10221060
2019,5,109695181,1,1,10226978
2019,16,109687967,1,9,10226980
2019,4,109690825,1.51,1,10223350
2019,12,109695381,0.01,1,10221102
2019,12,109690838,2.5,1,10221104
2019,12,109690843,1.09,1,10221105
2019,5,109688221,0.007,1,10223356
2019,5,109736553,1,11,10234173
2019,5,109740782,,,10234179
2019,5,109741102,,,10234193
2019,5,109690674,9.65,1,10221072
2019,5,109687956,0.39,1,10223314
2019,5,109688258,0.54,1,10227019
2019,5,109688267,29.66,1,10223369
2019,5,109695457,5.13,1,10223375
2019,5,109695551,0.018,1,10223401
2019,16,109691180,2.75,9,10221187
2019,5,109691180,5,1,10221186
2019,12,109691347,0.36,1,10221233
2019,2,109696147,3.36,9,10223486
2019,2,109696147,7.03,1,10223485
2019,5,109696147,1,1,10223487
2019,4,109688960,1,9,10227169
2019,17,109688972,1,9,10231261
2019,5,109691538,138,1,10231289
2019,5,109691547,8,1,10231295
2019,5,109689070,1,9,10231303
2019,16,109689094,1,9,10223528
2019,16,109689164,158,2,10223541
2019,8,115629409,2,9,11258160
2019,5,115629409,2,1,11258161
2019,5,115629463,85,1,11263132
2019,5,115619930,3,1,11251011
2019,12,115624720,0.5,1,11251014
2019,12,115619950,1,9,11263154
2019,12,115619975,4.5,1,11251024
2019,12,115624766,,,11258185
2019,5,115629686,27.73,1,11258188
2019,8,115624806,1,11,11263175
2019,12,115620023,1,9,11263176
2019,5,115620039,9.8,1,11263180
2019,5,115620070,27.5,1,11251039
2019,5,115624860,13.4,1,11251040
2019,8,115620081,1.3,1,11263188
2019,17,115629962,1,9,11258217
2019,12,115624986,1,1,11258220
2019,12,115630024,49.16,1,11263218
2019,5,109740537,,,10234170
2019,5,109740820,1,3,10234180
2019,5,109695431,2.85,1,10223370
2019,5,109688290,4.79,1,10221121
2019,4,109690905,22.85,1,10223374
2019,3,109695456,44.11,1,10227028
2019,5,109695456,6.19,1,10227029
2019,5,109695470,5.6,1,10227033
2019,12,109695472,10.2,1,10221128
2019,5,109690963,0.001,1,10221148
2019,5,109690971,0.003,1,10221149
2019,5,109695586,1,9,10223407
2019,17,109688416,1,11,10221156
2019,5,109691063,,,10221164
2019,1,109691113,,,10221171
2019,5,109695742,,,10221172
2019,12,109688587,,,10227093
2019,16,109691166,5,1,10227096
2019,5,109688634,24,1,10227103
2019,12,109688640,4,1,10227105
2019,5,109696008,1,11,10227149
2019,16,109691384,12,9,10221239
2019,5,109691485,1,9,10231260
2019,5,109696182,1,1,10223495
2019,5,109696182,1,9,10223494
2019,1,109696230,5,1,10223516
2019,5,109691548,3.7,1,10231297
2019,5,109696397,7,1,10231320
2019,3,109689167,5,7,10227227
2019,1,109691872,8.56,1,10227319
2019,5,109691940,3.5,1,10227323
2019,5,109696745,1,1,10227327
2019,8,109696745,1,1,10223627
2019,5,109696768,0.5,1,10227333
2019,5,109696768,0.75,9,10227332
2019,5,109699590,0.001,1,10231430
2019,5,109692407,,,10227423
2019,4,109697260,,,10227425
2019,12,109697365,1,9,10231529
2019,1,109700124,7,1,10227440
2019,5,109697416,3,1,10227442
2019,5,121889905,8.1,1,13152154
2019,5,121894681,1,9,13158389
2019,16,121885929,2,9,13155382
2019,12,121889964,10,1,13152164
2019,4,121889964,1,1,13152165
2019,8,121889964,1,9,13152166
2019,12,121894711,0.5,1,13158398
2019,4,121894711,0.3,1,13158397
2019,12,121894848,2.8,1,13158425
2019,6,121894848,9,9,13158424
2019,12,121890167,1.1,1,13152217
2019,7,121890191,,,13152226
2019,12,121894883,1.1,1,13152227
2019,4,121890199,7,9,13152229
2019,5,121890294,1,1,13152248
2019,8,121890312,1,9,13158468
2019,1,121894977,0.56,1,13152254
2019,5,121894982,2,1,13158471
2019,1,121894989,6.83,1,13158474
2019,17,121895840,,,13158558
2019,17,121895888,,,13152383
2019,12,121896015,1,11,13158594
2019,17,121896077,,,13158605
2019,12,121896148,,,13152429
2019,17,121891700,,,13152436
2019,5,121891785,1,11,13158632
2019,5,121886094,0.001,9,13158644
2019,8,121886094,0.001,9,13158645
2019,12,121891970,1,11,13158666
2019,5,121896611,,,13158690
2019,5,121896614,,,13158691
2019,12,121896623,3,1,13158692
2019,12,121896690,1,11,13158700
2019,4,121896690,1,11,13158701
2019,12,121896739,2,9,13162524
2019,4,121892405,1,9,13162532
2019,16,121892532,2,9,13158739
2019,13,121896851,56,9,13162576
2019,16,121886256,2,9,13158782
2019,5,121886256,22.6,1,13158783
2019,16,121897054,1,9,13158788
2019,17,121897054,0.4,1,13158789
2019,4,121897069,1,9,13158791
2019,16,121886297,1,1,13158806
2019,17,121892932,,,13162658
2019,12,110548303,1,11,10380025
2019,5,110558306,1,3,10370698
2019,17,115322532,,,11197090
2019,17,115324899,,,11183053
2019,17,115322669,,,11183055
2019,17,115324927,,,11183062
2019,17,115318415,,,11192911
2019,17,115322829,,,11197136
2019,17,115318528,,,11197141
2019,17,115318561,,,11192931
2019,17,115325112,,,11183099
2019,17,115325140,,,11183105
2019,5,115323101,0.001,9,11192960
2019,17,115318751,,,11192966
2019,5,115325424,0.001,10,11192976
2019,1,115318843,0.001,9,11183152
2019,17,115323655,,,11197271
2019,17,115325739,,,11183193
2019,17,115325806,,,11183214
2019,17,115323764,,,11197290
2019,5,120395981,11,1,12812584
2019,5,120395995,1,10,12808815
2019,12,120399703,1,9,12804685
2019,4,120404719,,,12812621
2019,12,120404866,1,11,12808830
2019,1,120404873,0.001,1,12812659
2019,5,120404873,0.003,1,12812662
2019,12,120404885,0.002,1,12804701
2019,17,120404885,0.052,1,12804702
2019,12,120404928,1,9,12812674
2019,2,120396053,,,12808835
2019,12,120404982,4,1,12812697
2019,5,120405005,5.6,1,12812702
2019,5,120405015,,,12812707
2019,12,120399804,1,1,12804713
2019,16,120405024,,,12812710
2019,12,120405024,,,12812709
2019,17,120405026,1,9,12812711
2019,12,120399812,7.2,1,12812713
2019,5,120405076,4.6,1,12804715
2019,5,120405153,21,1,12804721
2019,5,120405174,1,1,12812730
2019,12,120405285,1,9,12812749
2019,12,120405322,1,9,12812753
2019,5,120405374,1,1,12812763
2019,8,120405416,1,9,12804735
2019,12,120405439,,,12812775
2019,17,120399945,5,1,12812776
2019,12,120405537,,,12812793
2019,17,120405591,11.78,1,12812798
2019,12,120405643,,,12808874
2019,5,120395857,1,11,12804621
2019,5,120394250,1,1,12812525
2019,12,120384499,0.1,1,12804624
2019,16,120384502,1,11,12804625
2019,12,120394310,1,1,12812536
2019,5,120399599,2,1,12804655
2019,17,120394467,11.23,1,12812571
2019,12,120394479,,,12812576
2019,5,120394514,29.46,1,12812582
2019,17,120394520,1,9,12812583
2019,12,120399662,,,12804674
2019,5,120399671,2,1,12804675
2019,5,120394566,39,1,12812593
2019,16,120404601,1,1,12808814
2019,5,120404601,21.3,1,12812598
2019,5,120404603,3.7,1,12804683
2019,5,120404611,0.001,1,12812601
2019,5,120404671,4,1,12812612
2019,5,120404694,2.18,1,12808819
2019,12,120404790,2.5,1,12812629
2019,5,120404820,5.73,1,12808826
2019,5,120404823,1,9,12812637
2019,4,120404872,0.001,1,12812658
2019,5,120404872,0.003,1,12812657
2019,12,120404872,0.001,1,12812661
2019,12,120404879,1,11,12812664
2019,5,120399762,2.4,1,12804705
2019,17,120404941,0.001,1,12812683
2019,5,115381613,3,9,11198858
2019,12,115381667,36,1,11194856
2019,5,115378115,12.48,1,11184637
2019,8,115378115,1.84,1,11194871
2019,16,115387617,5.07,1,11184638
2019,5,115387617,29.33,1,11184639
2019,7,115387617,1,11,11198893
2019,5,115387781,1,11,11184661
2019,5,115387799,24.16,1,11194900
2019,5,115387853,1.82,1,11198936
2019,5,115378349,0.53,1,11184691
2019,5,107447685,1,1,9833689
2019,12,115382012,0.007,1,11198942
2019,12,115388055,,,11198966
2019,8,115388098,,,11184727
2019,16,115388170,46,9,11198978
2019,4,115388230,1,1,11198985
2019,5,115382327,1.1,1,11184771
2019,5,115388488,4,9,11199039
2019,8,115382753,1,9,11195042
2019,5,113072998,16,1,10779985
2019,5,113082556,2.7,1,10776020
2019,5,113082566,3.5,1,10776025
2019,1,113073039,0.3,1,10779995
2019,5,113073056,1,9,10776033
2019,1,113082741,0.3,1,10776049
2019,5,113085992,3,1,10783876
2019,5,113082812,1,1,10776064
2019,5,113082862,2.5,1,10776075
2019,5,113082917,1,1,10776090
2019,5,113073572,1,1,10780105
