"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2019,31615439,1,31641727
2019,31611800,1,31641777
2019,31611803,1,31637695
2019,31611807,1,31633486
2019,31615495,1,31641786
2019,31611834,1,31637718
2019,31615498,1,31637724
2019,31615504,1,31641795
2019,31607264,1,31637734
2019,31611853,1,31637738
2019,31615511,1,31633501
2019,31615540,1,31641827
2019,31607280,1,31633520
2019,31615546,1,31641832
2019,31607283,1,31633523
2019,31611954,1,31641881
2019,31607325,1,31637842
2019,31607326,1,31637843
2019,31611964,1,31637850
2019,31611969,1,31641889
2019,31611978,1,31637865
2019,31612016,1,31637898
2019,31615626,1,31637906
2019,31607366,1,31637943
2019,33307377,1,33343802
2019,33307443,1,33343875
2019,33303508,1,33339839
2019,33309408,1,33345646
2019,33309423,1,33343951
2019,33303452,1,33345576
2019,33303460,1,33343809
2019,33307385,1,33343815
2019,33309352,1,33345590
2019,33303466,1,33339801
2019,33307393,1,33343828
2019,33307394,1,33343829
2019,33309372,1,33345607
2019,33309373,1,33345608
2019,33307413,3,33343847
2019,33307444,1,33343876
2019,33303482,1,33339816
2019,33309392,1,33345629
2019,33307459,1,33343889
2019,33307458,1,33339828
2019,33307473,1,33343904
2019,33303511,1,33339845
2019,33307483,1,33343915
2019,33307488,1,33343919
2019,33309413,1,33345653
2019,33303528,1,33339862
2019,33309416,1,33339864
2019,33309417,1,33345655
2019,33303536,1,33339873
2019,33303541,1,33339876
2019,33309444,1,33339882
2019,33309443,1,33345676
2019,33307532,1,33343967
2019,33307533,1,33343968
2019,33309462,1,33345693
2019,33309471,1,33345700
2019,33307525,1,33343959
2019,33309440,1,33345673
2019,33309494,1,33345721
2019,33307540,1,33343977
2019,33307541,1,33343978
2019,33303584,1,33339925
2019,33307551,1,33345731
2019,33303615,1,33349954
2019,33307561,1,33349964
2019,33307564,1,33343996
2019,33309573,1,33345806
2019,33307572,1,33344006
2019,33309705,1,33350140
2019,33309716,1,33344183
2019,33309724,1,33344189
2019,33309754,1,33345994
2019,33309753,1,33345992
2019,33308227,7,33346417
2019,33314397,1,33350738
2019,33308379,1,33344778
2019,33314091,1,33350430
2019,33318736,1,33346833
2019,33314717,1,33351060
2019,33318746,1,33355135
2019,33314745,1,33346876
2019,33310629,1,33346895
2019,33314793,1,33351147
2019,33310740,1,33347002
2019,33310743,1,33347006
2019,33318854,1,33355249
2019,33318876,1,33355270
2019,33318877,1,33355271
2019,33314911,1,33347097
2019,33310999,1,33351382
2019,31617076,1,31643387
2019,31617097,1,31639926
2019,31617104,1,31643415
2019,31617132,3,31634247
2019,31619126,1,31645001
2019,31608025,1,31634257
2019,31608029,1,31634265
2019,31608040,1,31645054
2019,31619170,1,31645055
2019,31619169,1,31634274
2019,31619202,1,31645090
2019,31619232,1,31645122
2019,31619252,1,31645148
2019,31608067,1,31634298
2019,31608066,1,31645160
2019,31617246,1,31645177
2019,31617327,1,31643606
2019,31608137,1,31645312
2019,31619424,1,31645344
2019,31619438,1,31645357
2019,31617405,2,31643683
2019,31617427,1,31645508
2019,31619604,1,31645530
2019,31619719,1,31645647
2019,31619760,1,31634475
2019,31617505,1,31645684
